,title,director,genre,release_date,company,star_1,star_2,star_3
1539,Shattered Mirror,Lancelot Oduwa Imasuen,Drama,2012,Great Movies Ind. Ltd.,Victor Abba,Amaechi Anaekwe,Ngozi Ezeonu
1540,Malice,John Njamah,Drama,2020,Rok Studios,Chinonso Arubayi,Stanley Igboanugo,Peter Ntabe-Abang
1541,Gold Diggin,Rukky Sanda,Drama,2014,Rukky Sanda Studios,Abbey Chile Abuede,Venita Akpofure,Denrele Edun
1542,A Familiar Stranger,Chidi Anyanwu Chidox,Drama,2022,One & Two Productions,Somadina Adinma,Esther Audu,Esther Emmanuel
1543,Iran Mi,Tope Adebayo,Drama,2020,Adekaz Productions,Jolade Adedigba,Odunlade Adekola,Kemi Afolabi
1544,Twins of the Rain Forest,Odion P. Agboh,Short,1999,"M-Net,Swift Studios",Olu Jacobs,Jude Orhorha,Joke Silva
1545,The Escort,Emem Isong,Romance,2021,Nevada Bridge Productions,Etochi Asiegbu,Oge Asiegbu,Femi Branch
1546,Okunkun Biribiri,Lasun Ray-Eyiwumi,Drama,2010,Corporate Pictures,Abdul Rasaki Adebowo,Omotayo Adefeye,Gbeminiyi Adegboola
1547,13th Day: Ojó ketàlá,Sunday Ogunyemi,Drama,2005,Scene One Production,Funke Akindele,Olumide Bakare,Bayo Bankole
1548,Deserted,Udezeh Onyinye,Drama,2022,"Mazinni Pictures,Rok Studios",Chinenye Aniemenam,Ikenna Ezeh,Benedette Nkiruka
1549,Face of Africa 2,Obi Callys Obinali,Drama,2005,Simony Productions,Caroline Danjuma,Rita Dominic,Oge Okoye
1550,Missing Angel 2,Charles Novia,Drama,2004,"November Productions,Ulzee Nigeria Ltd.",Stella Damasus,Desmond Elliot,Nobert Young
1551,Shekesheke,Afeez Abiodun,Drama,2022,Ibaka TV,Femi Adebayo,Mercy Aigbe,Okikiola Bakare
1552,Desire,Kayode Kasum,Drama,2019,"Africa Magic Original Films,ShutterSpeed Projects",Baaj Adebule,Ademola Adedoyin,Lilian Afegbai
1553,3 Can Play,Aniedi Awah Noba,Romance,2022,One and Two Film Production,Onyii Alex,Victoria Ogechi Alozie,Chinonso Arubayi
1554,Do You Even Love Me,Anita Edwards,Drama,2014,Tribe Nation Original Productions,Peter Adesanya,Naomi Bankyu,Anita Edwards
1555,Masoyiyata,Farooq Eschew Brown,Romance,2003,Ashu Media,Ahmad S. Nuhu,Sadiya Abda Rano,
1556,Akeeke,Monsuru Obadina,Drama,2005,"Alani Films,Millennium Films",Fathia Balogun,Ade Adele Dende,Jide Kosoko
1557,Emela,John Njamah,Drama,2020,Rok Studios,Frances Nsonwu Ikoroha,Ofia Afuluagu Mbaka,Stan Nze
1558,When the Music Fades,Vincent D. Anointed,Drama,2022,Moreplex,Henry Blaise,Ekene Dyke,Didi Ezenwa
1559,The Boss Is Mine,Okechukwu Oku,Comedy,2016,The Oracle Films,Ime Bishop Umoh,Mike Godson,Daniella Okeke
1560,Chameleon,Johnpaul Nwanganga,Drama,2018,Magic Movies Production,Zulu Adigwe,Paschaline Alex,Sasha Nkechi Donald
1561,Circle of Tears,MacCollins Chidebe,Drama,2004,Annex Merchandise Ltd.,Sandra Achums,Chioma Chukwuka Akpotha,Lekan Alege
1562,Boys Will Be Boys,Chris Eneaji Eneng,Drama,2019,"Mazinni Pictures,Rok Studios",Blessing Anietie,Uzor Arukwe,Promise Awoke
1563,Ainiwa,Odunlade Adekola,Drama,2021,"Corporate Pictures,Esther Kalejaye Films",Seilat Adebowale,Odunlade Adekola,Kehinde Adeyanju
1564,Uncle Oyibo,Amayo Uzo Philips,Comedy,2015,Rok Studios,Chiwetalu Agu,Funke Akindele,Ruth Kadiri
1565,The Island,Toka McBaror,Action,2018,Achievas Entertainment,Femi Adebayo,Segun Arinze,Sukanmi Bahlofin
1566,Royal Madness 2,Nonso Ekene Okonkwo,Drama,2009,Softel & Sky Movies,Uju Aroh,Nkiru Egwim,Miracle Eze
1567,Love & Illusion,John Njamah,Drama,2016,MG Studios,Keppy Ekpenyong-Bassey,Alexx Ekubo,Mike Godson
1568,Temidun,Oluwole Adedeji,Drama,2005,M.O. Motion Picture,Yomi Abiodun,Opeyemi Ayeola,Ayo Badmus
1569,The Only Way,Emeka Madu,Drama,2022,Rok Studios,Ifeanyi Ofodile,Ebele Okaro-Onyiuke,Stella Udeze
1570,The Living Ghost,Sunshine Olawore,Drama,2014,Ogplus Productions,Lucas Agarnyo,Nana Abena Agyena,Toosweet Annan
1571,Finding Mercy 1 & 2,Desmond Elliot,Drama,2013,Denziot Studios Production,Chioma Chukwuka Akpotha,Faith Bungie,Blossom Chukwujekwu
1572,Wild Affair,Chinneylove Eze,Romance,2021,ChinneyLove Eze Production,Onyii Alex,Uzor Arukwe,Afele Gift
1573,My Version of Tradition,Tissy Nnachi,Drama,2021,"Az-Don Entertainment,Rok Studios",Tokunbo Abayomi,Franca Brown,Oko Desmond
1574,Betrayal,Darasen Richards,Thriller,2016,"Blackdrum 360,Darasen Richards Films",David Jones David,Theresa Edem,Wale Ojo
1575,The Cartel,Chico Ejiro,Drama,2004,Vins Concepts,Lilian Bach,Lanre Falana,Shan George
1576,Ogbologbo,Monsuru Obadina,Action,2003,Kas-Vid International,Mulikat Adegbola,Sikiru Adesina,Lanre Hassan
1577,Omo Emi,Elijah Tolulope Rotimi,Drama,2017,Hibee Pictures Limited,Kike Abiola,Allwell Ademola,Yemi Amodu
1578,Sales Girl,Aniedi Awah Noba,Comedy,2019,Bold Step Pictures,Princess Agunobi,Chidinma Anyah,Oma Nnadi
1579,11th Thought,Emmanuel Anyaka,Drama,2019,Somany Films Production,Annes Anaekwe,Chinelo Ejianwu,Sonny McDon
1580,Valentino 2,Adim Williams,Drama,2002,"Classic Productions,O. J. Productions",Franca Brown,Clarion Chukwura-Abiola,Jide Kosoko
1581,Wives on Strike,Omoni Oboli,Comedy,2016,Dioni Visions,Julius Agwu,Chioma Chukwuka Akpotha,Kehinde Bankole
1582,Deadly Decision,Frank Rajah Arase,Drama,2005,Ben-Nobis Ventures Ltd.,Caroline Danjuma,Benedict Johnson,Ashley Nwosu
1583,Paranoia,Simon Peacemaker,Drama,2018,Image Filmworks Productions,Mike Durueke,Vicky Cals Henry,Ruth Kadiri
1584,Secret Act,Nonso Emekaekwue,Thriller,2014,Black Speech Media Group,Kingsley Amaechi,Vivica Anuforo,Eucharia Anunobi Ekwu
1585,Sabotage,Simon Peacemaker,Crime,2020,Rok Studios,Stephen Damian,Jennifer Eliogu,Ego Nwosu
1586,Oga olopa,Segun Ogungbe,Drama,2010,High Place Productions,Toyin Adegbola,Odunlade Adekola,Bolaji Amusan
1587,To Love and to Hold,Ndubuisi Okoh,Drama,2007,Giant Merchants,Karian Abasimfon,Fred Essien,Kate Henshaw-Nuttal
1588,The Wrong Selfie,Okey Ifeanyi,Comedy,2014,Az-Don Entertainment,Oma Iyasara,Jimoh Kabiru,Wale Lasisi
1589,Last Faculty,Ugo Ugbor,Drama,2007,Universal Productions,Jim Iyke,McMorris Ndubueze,Ramsey Nouah
1590,Halimatus Sadiya,Ali Nuhu,Drama,2019,Amart Entertainment,Ramadan Booth,Salisu S. Fulani,Baballe Hayatu
1591,Endless Tears 2,Michael Jaja,Drama,2007,Chez International,Ify Afuba,Tina Amuziam,Geraldine Ekeocha
1592,Will You Marry My Husband?,Opeyemi Dada,Drama,2020,Closer Pictures,Rosemary Abazie,Tehila Egwuenu Bright,Ayanime Edem
1593,Ward 305,Dimeji Ajibola,Drama,2016,Rok Studios,John Dumelo,Mary Lazarus,Bobby Obodo
1594,Wind of Glory 2,Tchidi Chikere,Drama,2007,Annex Merchandise Ltd.,Genevieve Nnaji,Desmond Elliot,Ofia Afuluagu Mbaka
1595,Ire's Ire,Desmond Elliot,Drama,2018,"Denziot Pictures,Rok Studios",Olayinka Ademo,Chinenye Akowundu,Alex Ayalogu
1596,The End,Rogers Ofime,Short,2019,Native Media,Ruona Apena,Chucks Chyke,Eric Ossai
1597,Oyin Alagbe,Odunlade Adekola,Comedy,2022,"Ennyteeentertainment,Epsalum",Odunlade Adekola,Muyiwa Ademola,Kabiru Adeyinka
1598,11:45... Too Late,Henry Czar Ejeta,Drama,2005,Elonel International Ltd.,Ini Edo,Mwisho Nwampambor,Ben Nwosu
1599,My Best Friend's Wedding,Okey Ifeanyi,Romance,2016,ChinneyLove Eze Production,Alofa Samuel Arinze,Justee Beat,Joseph Benjamin
1600,Hidden Treasure,Frank Rajah Arase,Drama,2008,O.J. Production,Olu Jacobs,Ramsey Nouah,Stephanie Linus
1601,After the Proposal,Desmond Elliot,Comedy,2013,Uche Jombo Production,Theresa Edem,Keira Hewatch,Uche Jombo
1602,African Movie Channel Original Production - Again,Chris Ihidero,Romance,2019,African Movie Channel,Diipo Adeusi,Amarachi Audu,Ore Badmus
1603,Memory Lane,Desmond Elliot,Drama,2020,"Denziot Studios Production,Iwaritainment",Bimbo Akintola,Roxy Antak,Justin Ben
1604,Slow Poison 2,MacCollins Chidebe,Drama,2003,Emmalex Associates Ltd.,Azuka Chukwurah,Rita Edochie,Charles Okafor
1605,Violated,Oluwatosin Ayilara,Short,2021,Kreglex Productions,Chidinma Ifunanyachi,Kunle Shody Glover,
1606,Look Into My Eyes 2,Emeka Jonathan,Drama,2007,Guniks Investment,Chiege Alisigwe,Desmond Elliot,Ndidi Obi
1607,Married to a Witch,Fred Amata,Fantasy,2001,Liberty Films,Kwame Owosu,Lilian Bach,Iyabo Lawani
1608,Breaking News 2,Kalu Anya,Drama,2007,"Pressing Forward Production,Rich-Rock Productions",Abigail Ani,Moses Armstrong,Chika Ike
1609,A Night in the Philippines 2,Zeb Ejiro,Drama,2005,"Angel Light Entertainment,Movieland Network Ltd.,Zeb Ejiro Productions",Marie Eboka,Desmond Elliot,Ibinabo Fiberesima
1610,Oracle 2,Andy Amenechi,Horror,2002,O.J. Production,Rosemary Azinge,Pete Edochie,David Ihesie
1611,A Story from Zazu,Charles Uwagbai,Drama,2020,"Creative Unit Studios,Rok Studios",Rita Edochie,Chelsea Eze,T. Temple Ikeji
1612,Happy Endings,Richards Omos-Iboyi,Drama,2018,Dialogue Box Production,Oreoluwa Adedoyin,Tana Adelana,Yemi Akinlosotu
1613,My Blood 2,Frank Rajah Arase,Drama,2004,Magic Movies Production,Ejike Asiegbu,Jennifer Eliogu,Omotola Jalade-Ekeinde
1614,Ija Ominira,Ola Balogun,Drama,1979,Friendship Motion Picture Company,Ade-Love,Oyin Adejobi,Duro Ladipo
1615,Faith Beyond Fate,Pascal Amanfo,Drama,2020,Rok Studios,Pearl Agwu,Ruby Agwu,Emma Ayalogu
1616,Deadly Decision 2,Frank Rajah Arase,Drama,2005,Ben-Nobis Ventures Ltd.,Caroline Danjuma,Benedict Johnson,Ashley Nwosu
1617,Corporate Maid 2,Ikechukwu Onyeka,Comedy,2008,"De-Zeen International,Kas-Vid International",Van Vicker,Oge Okoye,Mercy Johnson Okojie
1618,My Soulmate,Kabat Esosa Egbon,Drama,2019,"Afrik Glamour Productions,Rok Studios",Bimbo Ademoye,Seun Akindele,Ejike Asiegbu
1619,The Biggest Boy in Town 2,Obi Okoli,Drama,2006,Andy Best Electronics,Chiwetalu Agu,Rita Edochie,Klint Igwemba
1620,An Old Enemy,Kemi Adetiba,Crime,2021,Kemi Adetiba Visuals,Sola Sobowale,Richard Mofe-Damijo,Remilekun Reminisce Safaru
1621,MTN Callertunes,Theo Ukpaa,Short,2016,Tiger Republic Films,Efe Henry,Chineye Ruchy,
1622,Diana,Okey-Zubelu Okoh,Comedy,2018,Ibaka TV,Ayo Adesanya Hassan,Roxy Antak,Shirleyann Ede
1623,The Enemy I See,Okey-Zubelu Okoh,Drama,2012,Softel Productions,Yul Edochie,Patience Ozokwor,Mercy Johnson Okojie
1624,Miss Taken,Ike Nnaebue,Drama,2015,Uche Jombo studios,Omotayo Adefeye,Seun Akindele,Great Cool
1625,Passport,Dimeji Ajibola,Comedy,2022,VSL Media,Daniel Abua,Lateef Adedimeji,Stephen Damian
1626,Crime Planner 2,Tchidi Chikere,Drama,2006,Ossy Affason Production,Mike Amosu,Chucks Bambino,Prosper Chibuzor
1627,City of Kings,Tchidi Chikere,Drama,2006,P. Collins Productions,Zulu Adigwe,Amara Ajuluchukwu,Tony Alor
1628,Double Strings,"Toka McBaror,Patrick Odjegba",Drama,2020,EEP Enterteriment,Lilian Afegbai,Steve Asinobi,Ushbebe Comedian
1629,Sweet Sound,Andy Nwakalor,Drama,2006,Andy Iyke Production,Akume Akume,Rita Dominic,Francis Duru
1630,The Takers,Toka McBaror,Drama,2021,Evolution Studio 66,Maxwell Simon Adeyin,Gabriel Akhuetie,George Nanakwesi Chux
1631,No More Secret,Saheed Apanpa,Drama,2020,iROKOtv,Taiwo Adijat,Victoria Etikaran,Chinneylove Eze
1632,Ito funfun,Ade Ajiboye,Drama,2004,Olasco Films,Opeyemi Ayeola,Fathia Balogun,Saidi Balogun
1633,Lost in the Jungle 2,Nonso Emekaekwue,Drama,2007,"Ezihe Richmond Production,Rich-Rock Productions",Charles Awurum,Kenneth Chukwu,Uche Elendu
1634,Mission to Nowhere 2,Teco Benson,Drama,2008,TFP Global Network,Yahseph Ananaba,Sam Dede,Stephanie Linus
1635,Love My Way 2,Ikechukwu Onyeka,Drama,2008,Great World Entertainment,Genevieve Nnaji,Jim Iyke,Kalu Ikeagwu
1636,Nelayan,Abbey Abimbola,Action,2023,AARMProductions,Geoff Andre Feyaerts,Abbey Abimbola,Subash Sundaramoothy
1637,Twist of Fate,"Willie Adah Ajenge,Ubaka Frank Ubaka",Drama,2007,"Christian Dior Video,Cormec Movie Production",Sarah Agbe,Israel Anozie,Helen Arias
1638,Idemili,Ernest Obi,Adventure,2014,Onye Eze Holding Production,Chizzy Alichi,Esther Ayi,Chidi Chijioke
1639,U-Turn,Gabriel Afolayan,Comedy,2022,Studio 6 Multimedia,Adunni Ade,Muyiwa Adegoke,Toyosi Adesanya
1640,Deep,Chidi Anyanwu Chidox,Drama,2022,Cloud 9 Movies,Favour Chigozie,Bishop Duruzor,Chima Ewulum
1641,Feels Like Heaven,Chris Eneaji Eneng,Drama,2019,Okembe Pictures,Bimbo Ademoye,Uzor Arukwe,Ruth Kadiri
1642,In Iredu,Abiola Sobo,Short,2013,Suss Productions,Ijeoma Grace Agu,Kemi Lala Akindoju,Adenike Ayeni
1643,My Guy,Basorge Tariah Jr.,Drama,1999,Elonel International Ltd.,Funso Adeolu,Ernest Asuzu,Darlene Benson-Cobham
1644,My Fiancee,Olaitan Adeyinka,Drama,2006,Frontmaster International,Mike Ezuruonye,Funmi Holder,Benedict Johnson
1645,Desperadoes 2,Izu Ojukwu,Action,2001,Solid Productions,Jerry Amilo,Hanks Anuku,Eucharia Anunobi Ekwu
1646,Prophet Nebu,Chris Eneaji Eneng,Comedy,2016,"Rok Studios,Royal Arts Academy",Desmond Elliot,Nsikan Isaac,Uche Jombo
1647,A Few Good Men,Ejiro Onobrakpor,Drama,2014,TogetherNow Production,Boma Adukeh,Otas Bazuaye,Joseph Benjamin
1648,Wrong Desire,Lancelot Oduwa Imasuen,Drama,2008,"Komic Relief Pictures,Lancewealth Image",Medina Aijikawo,Adesuwa Eguavoen,Ngozi Ezeonu
1649,Love Like a Fire,Aniedi Awah Noba,Romance,2020,Viola Productions,Khing Bassey,Dianne Chukwu,Mofe Duncan
1650,Kill the Bride 2,Dickson Iroegbu,Comedy,2005,Gold Pictures,Rita Dominic,Mike Ezuruonye,Amaechi Muonagor
1651,Love Struck,Obi Emelonye,Thriller,2015,Nollywood Film Factory,Precious Chikwendu,Enyinna Nwigwe,Jennifer Oguzie
1652,Trouble Maker,Tchidi Chikere,Comedy,2005,P. Collins Productions,Ify Afuba,Roy De Nani,Bruno Iwuoha
1653,The Fourth Party,Best Okoduwa,Drama,2021,Wedia Creative Agency,Jaiye Afrika,Obayan Ayomiku,Israel Ayoola
1654,When Night Is Falling,Tissy Nnachi,Drama,2019,Minas Dollz Entertainment UK,Ebisan Arayi,Godwin Chukwuemeka,Iyiola Elvis
1655,My Little Secret,Ofem Emmanuel,Drama,2006,Patec Investment,Francis Duru,Desmond Elliot,Kate Henshaw-Nuttal
1656,Lacrima,MacCollins Chidebe,Drama,2006,Be Good Ventures,Pete Edochie,Kanayo O. Kanayo,Rich Oganiru
1657,Needles & Threads,Great Valentine Edochie,Drama,2023,Rok Studios,Bimbo Ademoye,Paschaline Alex,Frances Ben
1658,Backline,Tope Alake,Drama,2019,Rok Studios,Tana Adelana,Funso Adeolu,Debby Felix
1659,Onye Ndu,Muoma Obinna,Family,2019,Inside Nollywood,Leo Ewuzie,Ngozi Ezeonu,Letícia Leite
1660,Total Control 3,Michael Jaja,Drama,2006,O.J. Production,Bassey Ekpo Bassey,Yemi Blaq,Monalisa Chinda
1661,Social Media 101,Paul Iheanyichukwu Igwe,Comedy,2019,M-Laz Production,Adebode Abdulateef,Tana Adelana,Honesty Aigbomian
1662,The Alternative,Adewale Rasaq,Drama,2022,"4WD Entertainment,Dareal World of Entertainment",Aminat Adebayo,Wale Adebayo,Lateef Adedimeji
1663,Eto ikoko,Yemi Amodu,Drama,2005,"Alawaye Ventures,MJ Films Production",Funso Adeolu,Aderoju Agboola,John Asai
1664,Dead in Faith,"Henry Czar Ejeta,Ubaka Frank Ubaka",Drama,2006,Elonel International Ltd.,Gladicient Adaeze,Adedare Adenira,Uche Afam
1665,Sa in Sa,Falalu A. Dorayi,Drama,2015,Artist Entertainment,Zainab Aduma,Sadiq Artist,Umar A. Gambo
1666,The Banker,Ikechukwu Onyeka,Drama,2015,Royal Arts Academy,Seun Akindele,Mbong Amata,Patrick Amuta
1667,Grey Area,Uche Alexmoore,Mystery,2020,"Rok Studios,Royal Arts Academy",Roxy Antak,Chris Iheuwa,Ben-Shalom Joshua
1668,Half of a Yellow Sun,Biyi Bandele,Drama,2014,"Slate Films,Shareman Media,British Film Institute (BFI)",Chiwetel Ejiofor,Thandiwe Newton,Anika Noni Rose
1669,Entwined,Saheed Apanpa,Drama,2022,Oyailos Global Services,Tessy Brown,Emeka Darlington,Mary Lazarus
1670,The Meeting,Mildred Okwo,Comedy,2012,The Audrey Silva Company,Kehinde Bankole,Chika Chukwu,Rita Dominic
1671,Return of the Ring 2,Kensteve Anuka,Drama,2013,De-Zeen International,Esther Audu,Geraldine Ejiogu,Artus Frank
1672,The New Normal,Teniola Olatoni,Comedy,2020,Sourmash Stories,Adunni Ade,Bimbo Akintola,Kehinde Bankole
1673,Kasala,Biyi Bandele,Drama,2013,"MTV Staying Alive Foundation,MTV Staying Alive Foundation",Chris Attoh,Timini Egbuson,Sharon Ezeamaka
1674,Ghetto Jagaban,Ramsey David Arome,Action,2023,Asabawood,Vivian Odinaka,Emmanuel Nnamdi,Ramsey David Arome
1675,Common Man,Stanlee Ohikhuare,Drama,2015,"Mighty Jot Studios,Mighty Jot Studios",Omotu Bissong,Daniel O. David,Lord Frank
1676,Lost But Found,Okey Ifeanyi,Drama,2021,Rok Studios,Josaj Ajali,Uzor Arukwe,Rachel Edwards
1677,The Prof and Den-Gun 2,Amayo Uzo Philips,Comedy,2007,Reemmy Jes Production (RJP),Ini Edo,Sam Loco Efe,Ngozi Nwosu
1678,Super Love,Andy Amenechi,Romance,2003,O.J. Production,Joy Agbor,Stephen Ahanaonu,Stephen Echendu
1679,Python Queen,Prince Cres Ugo,Drama,2014,La Chimex Ventures,Yul Edochie,Anjela Okoye,Vitalis Ndubuisi
1680,Tempted,Uduak-Obong Patrick,Drama,2017,Blackcreek Pictures,Eloho Festus,Nancy Isime,Jimmy Odukoya
1681,Eko o'tobi,Jare Adeniregun,Drama,2004,Toymax Films Holding,Sikiru Adesina,Ayo Badmus,Foluke Daramola
1682,The Mechanic,John Njamah,Drama,2021,"Mela Movies,Rok Studios",Salvy Festus,Ego Nworji,Ernest Obi
1683,Price of the Wicked 2,MacCollins Chidebe,Drama,2003,Chez International,Chiwetalu Agu,Chiege Alisigwe,Geraldine Ekeocha
1684,Golden Moon 2,Andy Amenechi,Drama,2005,P. Collins Productions,Chioma Chukwuka Akpotha,Monalisa Chinda,Oby Edozieh
1685,Back from America,Andy Chukwu,Comedy,2003,"A-Z Production,Arinze Ezeanyaeche Production",Stephen Ahanaonu,Enebechi Alor,Chu Benson
1686,My Girlfriend is a Witch,Chidi Anyanwu Chidox,Fantasy,2017,One & Two Productions,Ifecheluobi Ebere,Chinelo Ejianwu,Jennifer Ike
1687,Jungle,Malik Afegbua,Short,2022,Slickcity Films,Tope Tedela,Oluchi Odii,Samuel Ajibola
1688,The Wanted Girl,Richards Omos-Iboyi,Thriller,2014,Naidoh Film,Felix Adeshina,Henry Aigbadumah,Paschaline Alex
1689,My Girl,Michael Ezeanyaeche,Drama,2002,O. J. Productions,Chiege Alisigwe,Andy Chukwu,Pete Eneh
1690,The Preacher,Kabat Esosa Egbon,Drama,2006,"Annex Merchandise Ltd.,Nwafor Anayo Production",Ejike Asiegbu,Sam Dede,Nnamdi Eze
1691,Dangerous Sisters 2,Obi Callys Obinali,Drama,2004,Hallmark Films Ltd.,Dakore Akande,Tina Amuziam,Genevieve Nnaji
1692,Women Affair,Andy Chukwu,Drama,2003,Annex Merchandise Ltd.,Stephen Bonam,Oby Kechere,Genevieve Nnaji
1693,Eje odo,Akeem Adeshina,Drama,2008,"New Star Film Productions,Soas Films and Music",Chalse Olumo Agbako,Fatai Odua,Wasiu Olabosinde
1694,When Love Finds You,Ifeanyi Ikpoenyi,Romance,2017,ChinneyLove Eze Production,Joyce Afensumen,Roxy Antak,Esther Audu
1695,Remote Control,Onyekwelu Ifeanyi,Comedy,2006,Chino International,Wisdom Adiele,Kindy Aguwamba,Nora Amah
1696,Discord 2,Ebere Onwu,Drama,2004,Ulzee Nigeria Ltd.,Dakore Akande,Jerry Amilo,Hanks Anuku
1697,Living in Bondage: Breaking Free,Ramsey Nouah,Drama,2019,"Michelangelo Productions,Natives Filmworks,Play Network Studios",Jide Kene Achufusi,Ramsey Nouah,Kenneth Okonkwo
1698,Letters to a Stranger,Fred Amata,Drama,2007,"Ecobank,Project Nollywood Productions",Fred Amata,Eucharia Anunobi Ekwu,Segun Arinze
1699,After My Heart 4,Afam Okereke,Drama,2008,De-Zeen International,Chioma Chukwuka Akpotha,Geraldine Ekeocha,Emeka Ike
1700,Last Challenge 2,Chike Bryan,Drama,2006,Mega Movies Industry,Osita Iheme,Chinedu Ikedieze,Benedict Johnson
1701,A Ci Bulus,Falalu A. Dorayi,Drama,2014,Dorayi Films,Hadiza Aliyu,Tijjani Asase,Yusif Barau
1702,Silenced,Ralph Nwadike,Drama,1999,Cosnoris International,Funso Adeolu,Sunday Afolabi,Liz Benson
1703,Nisan Kwana,Yaseen Auwal,Drama,2019,UK Entertainment,Fati S. Abubakar,Amina Amal,Baffa Baffancy
1704,A Fight with Shadow,Ilochi Olisaemeka,Drama,2021,Rok Studios,Mary Ann Apollo,Joyce Bernard,Chucks Chyke
1705,Bella,Titi Jeje,Drama,2015,Hibee Pictures Limited,Bukola Ajayi,Ajani Alade,Yemi Blaq
1706,Star Girl,Alex Joseph,Comedy,2021,Matilda Lambert Productions,Robinson Wellborn Akor,Walter Anga,Pat Black
1707,Next Door Neighbour,Andy Chukwu,Romance,2007,Okwytex Ventures Ltd.,Nonso Diobi,Ebube Nwagbo,Monalisa Chinda
1708,Mission to Africa,Joy Dickson,Drama,2003,Infinity Films,Segun Arinze,Peter Bunor,Kunle Coker
1709,Blood Bond,Korede Taiwo,Horror,2022,"Take 7 Media Productions,Birom Media",Preach Bassey,Weng Bot,Chioma Idigo
1710,Strangers in Paradise 2,Adim Williams,Drama,2005,Contech Films,Caroline Danjuma,Kanayo O. Kanayo,Vitalis Ndubuisi
1711,Django 2,Lancelot Oduwa Imasuen,Action,2005,Okwytex Ventures Ltd.,Hanks Anuku,Fred Aresoma,Chika Ike
1712,Always Mine,Tchidi Chikere,Drama,2009,O. Gabby Innovations,David Aginwa,Vero Chideluo,Francis Duru
1713,Red Light 2,Andy Amenechi,Drama,2005,Annex Merchandise Ltd.,Fabian Adibe,Ini Edo,Ricky Ezeh
1714,Wedding Fever,Adim Williams,Drama,2006,Cosnoris International,Fred Ariko,Rita Dominic,Vitalis Ndubuisi
1715,YAHOO taboo,Stanlee Ohikhuare,Short,2020,Mighty Jot Studios,Baaj Adebule,Tunbosun Aiyedehin,Adedamola Akapo
1716,Burning Desire 2,Dickson Iroegbu,Drama,2004,Amaco Investments,Ernest Asuzu,Stella Damasus,Enebeli Elebuwa
1717,Towo Tomo,"Muhydeen S. Ayinde,Alex Mouth",Drama,2013,Gb Films,Odunlade Adekola,Victor Olaotan,Ireti Osayemi
1718,The Day They Came,Genesis Williams,Short,2013,Ficson Films,Tony Doe,,
1719,Ile Owo,Dare Olaitan,Thriller,2022,"Film Trybe,Singularity Media",Bukunmi Adeaga-Ilori,Ademola Adedoyin,Bisola Aiyeola
1720,Ciki da Raino,Falalu A. Dorayi,Drama,2017,TJ Multipurpose Concept,Hadiza Aliyu,Sulaiman Bosho,Falalu A. Dorayi
1721,Fate Whisper,Simon Emeka,Drama,2023,Moreplex,Rosie Afuwape,Winston Ajaelo,Ezinne Bertrand
1722,A Love Like This,Ozioma B. Nwughala,Drama,2022,Triple One Productions,Bimbo Ademoye,Uzor Arukwe,Blessing Jessica Obasi-Nze
1723,Zafi,Chloe Coko,Short,2021,"Chloe Coko Films,Evolution Studio 66",Ladidi Abdullahi,Aisha Auwal,Auwal Bauchi
1724,Before the Wedding,Akama Misodi,Drama,2021,Rok Studios,Pavel Agboire,Maka Anyanwu,Sunny Baba
1725,Dying for Tomorrow 2,Lancelot Oduwa Imasuen,Drama,2006,P. Collins Productions,Steve Eboh,Justus Esiri,Mike Ezuruonye
1726,The Femi-nist,Daniel Oriahi,Comedy,2022,"House 5 Production,Rok Studios",Ijeoma Grace Agu,Rita Edward,Keppy Ekpenyong-Bassey
1727,Binta Kolonko,Biodun Stephen,Drama,2018,Desparanza Media,Henry Arnold,Woli Arole,Peters Ijagbemi
1728,The Fracture,"Funmi Odufuye,Eno Jerry Okpo",Drama,2020,"Paperboy Studios,Pride & Purple",Ademola Adedoyin,Kayode Aiyegbusi,Uzor Arukwe
1729,Life Incidence 2,Iyke Odife,Drama,2008,Paulsco Movies Int'l Ltd.,Jim Iyke,Mike Ezuruonye,Nonso Diobi
1730,Above Death: In God We Trust,Simi Opeoluwa,Drama,2003,Infinity Films,Hilda Dokubo,Pete Edochie,Kate Henshaw-Nuttal
1731,My Confession 2,Ikenna Aniekwe,Drama,2008,Ossy Affason Production,Ify Afuba,Ini Edo,Yul Edochie
1732,Bus Driver 2,Obi Callys Obinali,Drama,2005,Hallmark Films Ltd.,Val Agwulonu,Dakore Akande,Larry Koldsweat
1733,Oshimiri,Nonso Emekaekwue,Adventure,2015,First Movies Internatonal,Henry Anyanwu,Eve Esin,Zubby Michael
1734,House in Crisis 2,Nkem Alu,Drama,2007,"Image Production,Uche Links Movies",Chiwetalu Agu,Francis Duru,John Paul Nwadike
1735,Police Woman,Stanley Anaekwe,Drama,2004,"Double Edge Production,Golden Movies",Fabian Adibe,Nonso Diobi,Patience Ozokwor
1736,Alan Poza,Charles Novia,Comedy,2013,November Productions,Kemi Lala Akindoju,Grace-Charis Bassey,Beverly Naya
1737,Behind Closed Doors 2,Lancelot Oduwa Imasuen,Drama,2005,Reemmy Jes Production (RJP),Stella Damasus,Desmond Elliot,Richard Mofe-Damijo
1738,Blood on the Altar 3,Mike Bamiloye,Drama,2006,Mount Zion Media Connections,Elizabeth-Ore Adewole,Gloria Bamiloye,Elvon Jarrett
